N°	NOM	PRENOM	Qualification	SITE	PIECE	TEL	SALAIRE	sexe	date de naisssance
28	BERDUGO	Bernadette	1-agent	Nice	pièce 64	3710	24680.78	femme	30/03/1964
29	BERTOLO	Claudie	1-agent	Nice	pièce 238	3012	22615.91	femme	15/04/1971
30	BERTRAND	Roger	3-cadre	Paris	pièce 58	3626	52078.08	homme	10/01/1977
31	BIDAULT	Marie-Reine	2-maitrise	Nice	pièce 245	3733	31492.83	femme	25/06/1960
32	BINET	Emmanuel	2-maitrise	Nice	pièce 55	3799	39985.46	homme	22/08/1974
33	BINET	Olivier	1-agent	Nice	pièce 64	3023	27854.88	homme	21/07/1999
34	BLANC	Giséle	4-cadre supérieur	Nice	pièce 90	3650	75406.59	femme	16/02/1970
35	BLANCHOT	Guy	3-cadre	Nice	pièce 78	3089	43911.15	homme	31/05/1972
36	BOLLO	René	1-agent	Nice	pièce 107	3568	27357.32	homme	10/10/1991
37	BONNAY	Céline	1-agent	Paris	pièce 35	3214	24914.69	femme	26/09/1992
38	BOUCHET	Audrey	1-agent	Paris	pièce 73	3059	23583.89	femme	20/05/2001
39	BOUCHET	Micheline	2-maitrise	Paris	pièce 64	3170	30439.98	femme	19/12/1977
40	BOUDART	Orianne	3-cadre	Paris	pièce SEC	3586	36774.8	femme	27/05/1996
41	BOULLICAUD	Paul	3-cadre	Nice	pièce 73	3095	49118.3	homme	28/10/1993
42	BOUN	Jeanine	1-agent	Nice	pièce 64	3080	22626.29	femme	02/01/1983
43	BOUSLAH	Fabien	2-maitrise	Nice	pièce 216	3111	37725.52	homme	13/05/1976
44	BOUZCKAR	Ghislaine	4-cadre supérieur	Nice	pièce 35	3801	95523.81	femme	26/07/1966
45	BOVERO	Gilbert	2-maitrise	Nice	pièce 80	3456	35972.26	homme	25/11/1977
46	BRELEUR	Christophe	3-cadre	Nice	pièce 80	3002	62430.96	homme	24/12/1995
47	BRON	Geneviève	1-agent	Nice	pièce 64	3009	22602.64	femme	08/03/1982
48	BRUNET	Murielle	1-agent	Nice	pièce 131	3715	27134.08	femme	10/10/2000
49	BSIRI	Marie-Rose	1-agent	Paris	pièce 67	3769	27338.66	femme	31/08/1992
50	CAILLOT	Martine	1-agent	Nice	pièce 73	3021	20026.02	femme	21/01/1974
51	CALVET	Chrystel	1-agent	Nice	pièce 80	3666	28145.05	femme	01/04/1993
52	CAMELOT	Cédric	1-agent	Lille	secrétariat	3999	24377.66	homme	02/03/1999
53	CARRERA	Victor	1-agent	Strasbourg	pièce 129	3016	27870.83	homme	21/03/1967
54	CERCOTTE	Marie-Isabelle	4-cadre supérieur	Nice	pièce 220	3982	76256.37	femme	14/10/1975
55	CHAMBLAS	Pauline	1-agent	Paris	pièce 232	3657	25371.06	femme	04/03/1992
56	CHARDON	Camille	1-agent	Nice	pièce 78	3129	24033.68	femme	19/08/1996
57	CHAUBEAU	Louis	1-agent	Nice	pièce 83	3171	19179.46	homme	31/10/2000
58	CHAVES	Thierry	1-agent	Paris	pièce 51	3879	29179.12	homme	01/05/1989
59	CHEHMAT	Jocelyne	1-agent	Nice	pièce 51	3062	23465.48	femme	11/03/1965
60	CHI	Nicole	3-cadre	Paris	pièce 80	3778	51746.25	femme	31/03/1980
61	CHICHE	Vincent	4-cadre supérieur	Strasbourg	pièce 95	3041	87673.16	homme	06/10/1977
62	CHRISTOPHE	Laetitia	1-agent	Nice	pièce 83	3185	21321.42	femme	05/06/2002
63	CLAVERIE	Isabelle	1-agent	Nice	pièce 64	3168	25330.15	femme	27/05/1977
64	COBHEN	Gaylor	3-cadre	Nice	pièce 73	3087	47419.17	homme	03/02/1996
65	COHEN	Christian	1-agent	Nice	pièce 58	3173	26753.38	homme	29/09/1988
66	COMTE	Martin	1-agent	Paris	pièce 110	3054	24737.29	homme	05/09/1984
67	CORBET	Pauline	1-agent	Paris	pièce 104	3149	19364.2	femme	03/11/1994
68	COUDERC	Marie-Louise	2-maitrise	Nice	pièce 97	3627	30787.06	femme	12/08/1982
69	COUGET	Delphine	1-agent	Nice	pièce 66	3730	23936.62	femme	08/11/1992
70	CRIÉ	Michel	4-cadre supérieur	Paris	pièce 90	3946	129398.76	homme	17/01/1967
71	CROMBEZ	Nadia	1-agent	Nice	pièce 80	3200	24592.99	femme	15/09/1995
72	CUCIT	Marie-Louise	1-agent	Nice	pièce 35	3794	26274.04	femme	13/11/1991
73	CYMBALIST	Christophe	2-maitrise	Nice	pièce 118	3270	38121.47	homme	24/04/1978
74	DAMBSKI	René	1-agent	Paris	pièce 14	3076	28310.72	homme	26/12/1980
75	DANIEL	Murielle	1-agent	Paris	pièce 255	3633	25672.48	femme	06/08/1991
76	DEDIEU	Vanessa	1-agent	Nice	pièce 78	3712	23924.71	femme	02/02/1997
77	DEFRANCE	Eliette	1-agent	Paris	pièce 74	3005	27182.66	femme	26/05/1973
78	DEIXONNE	Nadine	1-agent	Paris	pièce 133	3631	28112.83	femme	01/02/1982
79	DELAMARRE	Jean-Luc	1-agent	Nice	pièce 118	3108	29179.85	homme	13/05/1990
80	DELUC	Pascal	4-cadre supérieur	Paris	pièce 97	3068	87070.34	homme	01/09/1974
81	DENIS	Claudine	1-agent	Nice	pièce 136	3669	21659.92	femme	11/12/1982
82	DESHAYES	Isabelle	1-agent	Nice	pièce 138	3822	22779.11	femme	26/04/1978
83	DESROSES	Martine	1-agent	Paris	pièce 95	3119	25321.49	femme	26/05/1989
84	DESTAIN	Roseline	3-cadre	Paris	pièce 255	3152	45178.08	femme	26/02/1977
85	D'HÉROUVILLE	Yolande	1-agent	Strasbourg	pièce 53	3259	23611.36	femme	07/02/1971
86	DI	Nadine	1-agent	Paris	pièce 206	3727	24482.34	femme	24/04/1976
87	DONG	Laetitia	1-agent	Nice	pièce 74	3647	24623.36	femme	13/06/1994
88	DORLEANS	François-Xavier	3-cadre	Nice	pièce 211	3162	44590.01	homme	26/09/1961
89	DORLEANS	Jérémie	2-maitrise	Paris	pièce 229	3409	25554.58	homme	17/11/1998
90	DOUCOURE	Sébastien	1-agent	Nice	pièce 115	3114	25381.22	homme	30/12/1994
91	DUPRÉ	Sophie	3-cadre	Nice	pièce 62	3075	44364.74	femme	25/09/1965
92	DUROC	Annie	1-agent	Nice	pièce 64	3819	25883.11	femme	23/12/1969
93	EGREVE	Aymeric	1-agent	Nice	pièce 221	3113	19502.82	homme	25/09/2002
94	EGREVE	Jean-René	4-cadre supérieur	Nice	pièce 217	3629	98847.93	homme	14/01/1970
95	EL KAABI	Nicole	1-agent	Paris	pièce 56	3172	26314.34	femme	24/02/1978
96	FALZON	Patricia	2-maitrise	Paris	pièce 22	3673	27905.19	femme	06/11/1975
97	FARIDI	Murielle	1-agent	Paris		3861	29056.19	femme	14/07/1982
98	FAUCHEUX	Michel	3-cadre	Paris	pièce 220	3557	47525.79	homme	26/02/1982
99	FAUQUIER	Mireille	1-agent	Paris	pièce 241	3417	24648.16	femme	10/10/1971
100	FAVRE	Dany	1-agent	Nice	pièce 60	3118	22645.7	femme	08/03/1971
101	FEBVRE	Denis	4-cadre supérieur	Nice	pièce 107	3717	85762.08	homme	21/06/1970
102	FEDON	Marie-Claude	1-agent	Nice	pièce 132	3157	24165.35	femme	20/01/1972
103	FERNANDEZ	Yvette	4-cadre supérieur	Paris	pièce 105	3984	91608.38	femme	31/10/1967
104	FERNANDEZ	Yvette	3-cadre	Strasbourg	pièce 78	3736	40602.15	femme	03/04/1978
105	FERRAND	Sophie	2-maitrise	Nice	pièce 60	3122	32472.59	femme	11/07/1999
106	FILLEAU	Sylvie	3-cadre	Paris	pièce 90	3137	48234.6	femme	15/12/1979
107	FITOUSSI	Samuel	4-cadre supérieur	Paris		3554	87286.34	homme	16/04/1977
108	FOURNOL	Nathalie	2-maitrise	Paris	pièce 95	3331	30419.17	femme	25/10/1991
109	FRANÇOIS	Anne-Sophie	1-agent	Nice	pièce S R	3093	23320.01	femme	30/11/1999
110	FRETTE	Cédric	1-agent	Nice	pièce 133	3969	28648.61	homme	15/10/1992
111	FREYSSINET	Jean-José	4-cadre supérieur	Lille	pièce 218	3181	110105.06	homme	20/07/1971
112	FREYSSINET	Ludovic	2-maitrise	Strasbourg	pièce 227	3703	25554.58	homme	25/04/1998
113	FREYSSINET	Maud	3-cadre	Nice	pièce 225	3780	46403.42	homme	29/10/1995
114	FRISA	Brigitte	1-agent	Nice	pièce 110	3112	21006.67	femme	16/06/1976
115	GEIL	Dominique	4-cadre supérieur	Nice	pièce 97	3145	87696.24	homme	05/05/1981
116	GENTIL	Michelle	2-maitrise	Paris	pièce 227	3581	26924.55	femme	16/02/1978
117	GEORGET	Philippe	1-agent	Paris	pièce 255	3099	26942.28	homme	21/02/1976
118	GHAFFAR	Ghislaine	1-agent	Nice	pièce 73	3657	25987.75	femme	30/05/1978
119	GHIBAUDO	Nicole	1-agent	Paris	pièce 17	3882	26119.1	femme	23/11/1973
120	GILLINGHAM	Magdeleine	1-agent	Nice	pièce 209	3617	26623.7	femme	07/11/1976
121	GIRARD	André	2-maitrise	Nice	pièce 202	3116	40924.7	homme	20/01/1978
122	GIRAUDO	Jean	1-agent	Nice	pièce 138	3448	29196.98	homme	26/08/1983
123	GIRON	Anne-Marie	1-agent	Nice	pièce 90	3085	23910.28	femme	21/03/1978
124	GLYNATSIS	Estelle	1-agent	Nice	pièce 82	3679	23757.38	femme	08/03/1992
125	GONDOUIN	Bernard	2-maitrise	Nice	pièce 60	3824	38141.88	homme	14/02/1977
126	GORZINSKY	Odette	3-cadre	Paris	pièce 96	3589	41599.53	femme	23/07/1990
127	GOUILLON	Chantal	1-agent	Nice	pièce 255	3175	23209.34	femme	24/08/1973
128	GOYER	Brigitte	1-agent	Nice	pièce 34	3126	22882.92	femme	28/01/1978
129	GRAIN	Laurence	1-agent	Nice	pièce 80	3151	23995.19	femme	07/02/1996
130	GUELT	Monique	3-cadre	Paris	pièce 78	3874	50391.54	femme	15/07/1973
131	GUILLE	Jean	1-agent	Nice	pièce 232	3143	31181.32	homme	23/01/1970
132	GUITTON	Francis	2-maitrise	Nice	pièce 216	3140	33063.88	homme	27/04/1997
133	GUTFREUND	Dominique	1-agent	Nice	pièce 131	3675	24226.5	femme	11/06/1982
134	GUYOT	Pierre	1-agent	Paris	pièce 239	3711	24234.72	homme	19/05/1966
135	HABRANT	Julie	1-agent	Paris	pièce 66	3115	30383.99	femme	19/10/1997
136	HARAULT	Armelle	1-agent	Nice	pièce 32	3078	19907.93	femme	19/04/1976
137	HERBÉ	Joelle	1-agent	Nice		3007	25040.53	femme	30/03/1974
138	HERCLICH	Laura	1-agent	Paris	pièce 95	3954	28023.64	femme	25/07/1994
139	HERMANT	Jean-Pierre	3-cadre	Nice	pièce 70	3998	56397.05	homme	18/11/1968
140	HERSELIN	Brigitte	1-agent	Nice	pièce 20	3991	19842.34	femme	03/03/1967
141	HEURAUX	Catherine	1-agent	Nice	pièce 78	3685	24005.82	femme	27/03/1973
142	HUSETOWSKI	Franca	1-agent	Nice	pièce 212	3691	26464.36	femme	31/10/1975
143	ILARDO	Sylvie	3-cadre	Paris	pièce 96	3071	38918.24	femme	15/05/1993
144	IMMEUBLE	Sylvie	2-maitrise	Paris	pièce 206	3040	31448.52	femme	10/05/1976
145	JOLIBOIS	Michele	4-cadre supérieur	Paris	pièce 95	3022	78959.28	femme	19/05/1984
146	JOLY	Gautier	1-agent	Nice	pièce 96	3156	14703.91	homme	12/07/1999
147	JULIENSE	Gautier	3-cadre	Nice	pièce 223	3592	42157.16	homme	10/06/1991
148	JULIENSE	Marie-Thérèse	4-cadre supérieur	Nice	pièce 213	3243	111160.62	femme	30/05/1964
149	JULIENSE	Matthieu	2-maitrise	Paris	pièce 221	3063	33135.87	homme	19/12/1988
150	KAC	Christine	2-maitrise	Nice	pièce 219	3169	30237.83	femme	02/05/1974
151	KARSENTY	Christian	1-agent	Nice	pièce 107	3248	30103.26	homme	16/02/1992
152	KILBURG	Caroline	1-agent	Paris	pièce 95	3593	25601.89	femme	04/02/1995
153	KONGOLO	David	1-agent	Nice	pièce 115	3144	30625.69	homme	13/09/1994
154	KRIEF	Arlette	1-agent	Nice	pièce 64	3676	23769.28	femme	01/12/1970
155	KTORZA	Juliette	1-agent	Nice	pièce 35	3056	22033.21	femme	06/03/2001
156	LACHAUSSÉE	Anita	1-agent	Nice	pièce 20	3668	22352.8	femme	11/09/2000
157	LACIRE	Vincent	3-cadre	Strasbourg	pièce 78	3607	55197.45	homme	11/05/1977
158	LADD	Claude	2-maitrise	Nice	pièce 233	3130	31065.27	femme	08/11/1977
159	LAFORET	Clara	1-agent	Paris	pièce 228	3551	25195.54	femme	01/08/1998
160	LAFORET	Hubert	3-cadre	Nice	pièce 212	3142	57976.97	homme	28/03/1963
161	LAM	Pierrette	1-agent	Paris	pièce 135	3718	24307.92	femme	08/09/1977
162	LAMBERT	Geneviève	1-agent	Nice	pièce 240	3153	27355.61	femme	09/05/1982
163	LANDON	Marie-Odile	4-cadre supérieur	Nice	pièce 216	3247	98714.12	femme	27/07/1968
164	LANLO	Nathalie	1-agent	Nice	pièce 138	3695	26426.66	femme	07/10/1993
165	LAUB	Nicole	1-agent	Paris	plateau 1	3333	23635.28	femme	24/08/1967
166	LE BARBANCHON	Jeanine	1-agent	Nice	pièce 202	3590	23762.76	femme	11/05/1973
167	LE HYARIC	Nathalie	1-agent	Nice	pièce 73	3703	25023.37	femme	03/05/1992
168	LE LOCH	Nicole	4-cadre supérieur	Paris	pièce S/S	3104	78050.97	femme	01/03/1969
169	LE PREVOST	Marie-Anne	4-cadre supérieur	Nice	pièce 219	3204	82860.53	femme	03/04/1973
170	LEBAS	Eliane	1-agent	Nice	pièce 70	3105	26726.93	femme	16/03/1970
171	LEBRETON	Olivier	1-agent	Paris	pièce 118	3124	27824.44	homme	06/03/1981
172	LEDOUX	Madeleine	1-agent	Nice	pièce 109	3722	31727.83	femme	30/12/1980
173	LEE	Delphine	1-agent	Paris	pièce 232	3055	22167.06	femme	30/03/1996
174	LEFORT	Myriam	1-agent	Nice	pièce 64	3164	26468.06	femme	18/01/1996
175	LEGRAND	Stéphane	3-cadre	Paris	pièce 80	3136	51535.17	homme	09/02/1995
176	LEKA	Bernadette	1-agent	Nice	pièce 73	3010	23750.27	femme	02/03/1968
177	LEMAIRE	Philippe	3-cadre	Paris	pièce 58	3626	54175.92	homme	17/08/1975
178	LEMARI	Marie-Brigitte	1-agent	Paris	pièce 104	3148	32822.65	femme	13/08/1974
179	LEMARIÉ	David	1-agent	Nice	pièce 234	3037	17103.92	homme	30/09/1999
180	LEURRE	Denise	3-cadre	Nice	pièce 78	3844	49387.95	homme	03/12/1980
181	LHERMITTE	Bernard	4-cadre supérieur	Nice	pièce 214	3667	128082.69	homme	03/09/1965
182	LOUAPRE	Louisette	4-cadre supérieur	Paris	pièce 95	3135	98292.26	femme	18/05/1967
183	LY	Adrien	1-agent	Nice	pièce 64	3123	29403.18	homme	14/01/1994
184	MARECHAL	Geneviève	1-agent	Nice	pièce 20	3206	23528.16	femme	02/04/1978
185	MARINIER	Christiane	1-agent	Nice	pièce 83	3986	25705.75	femme	04/07/1974
186	MARINIER	Marcel	3-cadre	Nice	pièce 74	3131	52732.19	homme	01/05/1981
187	MAROTE	Marie-José	2-maitrise	Nice	pièce 95	3559	29650.29	femme	20/10/1966
188	MARQUEZ	Marie-Cécile	1-agent	Paris	pièce 97	3625	22728.22	femme	23/07/1977
189	MARSHER	Franz	2-maitrise	Nice	pièce 255	3120	36167.87	homme	27/07/1968
190	MARTAUD	Daniel	2-maitrise	Nice	pièce 129	3086	38619.84	homme	29/07/1977
191	MARTEL	Paul	1-agent	Nice	pièce 58	3591	27039.32	homme	05/10/1991
192	MARTI	Anne	1-agent	Nice	pièce 96	3596	19554.36	femme	26/01/1989
193	MARTIN	France	1-agent	Nice	pièce 131	3913	25810.51	femme	05/10/1973
194	MARTIN	Jacqueline	1-agent	Nice	pièce 53B	3943	26471.34	femme	12/06/1960
195	MARTIN	Laurent	1-agent	Nice	pièce 115	3638	21819.56	homme	23/08/2001
196	MECHARD	Véronique	3-cadre	Strasbourg	pièce 234	3611	45331.65	femme	13/12/1989
197	MERCIER	Evelyne	1-agent	Nice	pièce 238	3117	26977.06	femme	19/10/1965
198	MERLAUD	Jacqueline	1-agent	Nice	pièce 110	3057	30098.2	femme	23/11/1971
199	MESROBIAN	Joël	1-agent	Nice	pièce 12B	3154	26436.88	homme	06/01/1976
200	MIANET	Georges	4-cadre supérieur	Nice	pièce 83	3110	108277.95	homme	23/04/1968
201	MICELI	Stéphane	3-cadre	Paris	pièce 69	3588	52617.75	homme	21/05/1986
202	MILLET	Pasquale	1-agent	Paris	pièce 50	3618	31571.12	homme	19/01/1979
203	MOINARD	Loïc	1-agent	Nice	pièce 241	3150	31689.14	homme	17/11/1979
204	MOITA	Jeanne	2-maitrise	Nice	pièce 222	3626	35457.88	femme	26/04/1976
205	MONTFORT	Huong	1-agent	Nice	pièce 251	3584	33397.01	homme	15/07/1974
206	NAIMI	Georgette	2-maitrise	Nice	pièce 14	3644	28293.8	femme	07/12/1959
207	NICOLLE	Juliette	1-agent	Nice	pièce 64	3032	20899.44	femme	12/04/1999
208	OBEL	Rolande	1-agent	Paris	pièce 222	3723	23270.99	femme	31/07/1978
209	OCLOO	Martine	1-agent	Paris	pièce 97	3067	24030.84	femme	06/04/1976
210	ONG	Daniel	4-cadre supérieur	Nice	pièce 90	3764	84079.04	homme	11/04/1977
211	OTTOLAVA	Martine	1-agent	Nice	pièce 97	3637	23901.25	femme	14/10/1976
212	PARINET	Nicolas	1-agent	Nice	pièce 109	3881	24493.6	homme	06/01/1994
213	PARTOUCHE	Robert	3-cadre	Paris	pièce 95	3670	54565.59	homme	18/03/1987
214	PAVARD	Annie	1-agent	Nice	pièce 78	3073	19708.91	femme	03/02/1982
215	PEDRO	Francis	1-agent	Nice	pièce 253	3630	27376.97	homme	04/10/1976
216	PENALVA	Isabelle	1-agent	Nice	pièce 83	3413	25030.02	femme	30/05/1981
217	PERFETTO	Pascal	3-cadre	Paris	pièce 83	3420	58559.1	homme	12/05/1975
218	PERRUCHON	Fabrice	1-agent	Nice	pièce 12B	3128	29363.11	homme	18/02/1992
219	PIDERIT	Claude	1-agent	Nice	pièce 96	3552	22298.9	femme	14/12/1996
220	POISSON	Daniel	3-cadre	Nice	pièce 219	3733	57651.05	homme	28/02/1973
221	PONTALIER	Thierry	1-agent	Paris	pièce 14	3765	21596.3	homme	27/03/1981
222	POTRIQUET	Claudette	1-agent	Nice	pièce 60	3139	24980.74	femme	24/09/1970
223	POUYADOU	Josette	1-agent	Nice	pièce 83	3015	26761.5	femme	06/01/1979
224	PUAULT	Françoise	1-agent	Nice	pièce 64	3103	23981.17	femme	20/10/1973
225	QUINTIN	Martine	1-agent	Paris	pièce 134	3083	26096.71	femme	11/09/1992
226	RAGEUL	Marielle	1-agent	Paris	pièce 129	3917	24961.51	femme	30/01/1974
227	RAMBEAUD	Christian	4-cadre supérieur	Nice	pièce 93	3198	73528.16	homme	23/12/1979
228	RAMOND	Vincent	2-maitrise	Strasbourg	pièce 17	3092	38692.29	homme	31/12/1972
229	REBY-FAYARD	Luc	1-agent	Nice	pièce 35	3004	24732.64	homme	15/11/1973
230	REMUND	Françoise	2-maitrise	Paris	pièce 20	3182	33030.75	femme	08/10/1974
231	RENIER	Monique	1-agent	Paris	pièce 107	3208	25744.86	femme	04/08/1978
232	REVERDITO	Marie-Jeanne	1-agent	Nice	pièce 219	3125	26130.46	femme	12/04/1976
233	RIDEAU	Bastien	3-cadre	Paris	pièce 80	3174	49383.63	homme	31/10/1993
234	RIEGERT	Raymonde	2-maitrise	Paris	pièce 78	3079	33803.73	femme	06/02/1969
235	ROBERT	Christelle	1-agent	Nice	pièce 78	3017	22958.15	femme	19/04/1995
236	ROBERT	Viviane	1-agent	Strasbourg	pièce 222	3531	30063.96	femme	26/06/1981
237	RODIER	Régis	2-maitrise	Paris	pièce 132	3916	34826.58	homme	31/03/1972
238	ROGUET	Laurent	3-cadre	Nice	pièce 73	3166	56669.12	homme	10/01/1994
239	ROLLAIS-BRUNE	Colette	1-agent	Nice	pièce 64	3663	20851.28	femme	10/12/1981
240	ROLLAND	Céline	1-agent	Paris	pièce 80	3077	20312.34	femme	17/06/1996
241	ROSAR	Sylvie	1-agent	Nice	pièce 62	3121	22703	femme	14/06/1978
242	ROSSO	Robert	3-cadre	Paris	pièce 20	3165	58204.91	homme	19/08/1981
243	ROTENBERG	Michel	3-cadre	Paris	pièce 74	3024	49697.61	homme	18/07/1964
244	ROULET	Nathalie	1-agent	Nice	pièce 212	3185	23881.55	femme	17/04/1993
245	ROUX	Yveline	4-cadre supérieur	Nice	pièce 216	3082	79223.91	femme	01/08/1972
246	SAADA	Martine	1-agent	Paris	pièce 233	3563	23705.51	femme	21/03/1988
247	SACCHET	Marie-Thérèse	1-agent	Paris	pièce 245	3025	25296.88	femme	17/03/1966
248	SAILLANT	Séverine	1-agent	Nice	pièce 50	3890	23414.63	femme	27/02/1995
249	SAINT DE FLER	Elsa	4-cadre supérieur	Nice	pièce 224	3417	72229.11	femme	02/09/1992
250	SAINT DE FLER	Quentin	4-cadre supérieur	Lille	pièce 222	3035	74866.56	homme	08/05/1989
251	SAINT DE FLER	Théo	4-cadre supérieur	Strasbourg	pièce 226	3133	50014.29	homme	02/10/1997
252	SARFATI	Pascal	1-agent	Paris	pièce 118	3963	25821.94	homme	27/10/1965
253	SAYAVONG	Henriette	1-agent	Nice	pièce 62	3628	25316.69	femme	22/09/1962
254	SCHUSTER	Bernadette	1-agent	Nice	pièce 72	3031	24089.45	femme	26/03/1971
255	SCOTTI	Marie	1-agent	Nice	pièce 64	3502	27454.69	femme	16/11/1992
256	SENG	Cécile	1-agent	Nice	pièce 14	3045	27426.56	femme	28/11/1973
257	SENILLE	Marthe	1-agent	Paris	pièce 66	3160	23270.83	femme	21/06/1979
258	SENTEX	Stéphane	1-agent	Paris	pièce 64	3066	28395.66	homme	23/02/1992
259	SHERRY	Anne-Marie	1-agent	Paris	pièce 105	3983	29748.83	femme	23/04/1968
260	SINSEAU	Annie	1-agent	Nice	pièce 64	3051	25844.54	femme	05/03/1972
261	SOK	Vanessa	2-maitrise	Paris	pièce 107	3155	33413.59	femme	24/03/1994
262	SONG	Aline	2-maitrise	Lille	bureau 2	3980	25710.36	femme	15/03/1978
263	STOEFFLER	Jean-Marc	4-cadre supérieur	Paris	pièce 314	3098	125615.91	homme	19/10/1967
264	SURENA	Adrienne	1-agent	Paris	pièce 78	3569	20456.05	femme	12/11/1967
265	TAIEB	Michel	3-cadre	Paris	pièce 66	3185	59031.8	homme	23/09/1968
266	TAMBURRINI	Marie-Claire	1-agent	Nice	pièce 239	3102	22017.14	femme	19/11/1992
267	TAN	Marion	1-agent	Nice	pièce 227	3608	27411.59	femme	26/06/1999
268	TAN	Nathalie	1-agent	Paris	pièce 50	3733	22892.71	femme	09/11/1992
269	TANG	Armelle	1-agent	Paris	plateau 1	3333	19199.8	femme	03/10/1974
270	TARDIF	Marie-Paule	1-agent	Paris	pièce 21	3641	21815.36	femme	23/08/1972
271	THAO	Sylvain	4-cadre supérieur	Paris	pièce 69	3779	96996.95	homme	29/01/1975
272	THIAM	Anne-Marie	1-agent	Nice	pièce 136	3019	27592.94	femme	25/09/1976
273	THOQUENNE	Lydia	1-agent	Nice	pièce 133	3864	29905.66	femme	05/08/1970
274	TRIOMPHANTE	Judith	1-agent	Nice	pièce 35	3070	23323.48	femme	25/02/1997
275	UNG	Martine	1-agent	Paris	plateau 1	3333	23759.14	femme	24/06/1991
276	VANNAXAY	Francis	4-cadre supérieur	Nice	pièce 90	3333	77181.54	homme	08/07/1979
277	VASSEUR	Christiane	1-agent	Nice	pièce 60	3064	23589.35	femme	28/04/1978
278	VIAND	Monique	1-agent	Nice	pièce 232	3081	27206.42	femme	14/02/1965
279	VIDON	Marie-Louise	2-maitrise	Nice	pièce 236	3018	33040.59	femme	13/12/1963
280	ZANOTI	Monique	1-agent	Paris	pièce 66	3161	23117.4	femme	03/08/1964
281	ZAOUI	Liliane	1-agent	Nice	pièce 201	3096	26253.65	femme	07/10/1967
282	ZENOU	Robert	1-agent	Paris	plateau 1	3333	23797.28	homme	25/05/1973
283	ZHOU	Philippe	1-agent	Paris	pièce 66	3585	20361.32	homme	12/06/2001
284	ZIHOUNE	Christiane	1-agent	Nice	pièce 115	3671	30387.54	femme	31/05/1978
285	ZOUC	Fred	4-cadre supérieur	Nice	pièce 83	3185	80473.56	homme	07/10/1975
